"barras"|"precio"|"operador"|"fecha_inicio"|"fecha_fin"|"observaciones"|"fecha"|"hora"|"vigente"|"clase"
"7791293030876"|2182.50|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:41:43|N|1
"7791293030883"|2182.50|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:41:44|N|1
"7791293047850"|813.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:48:16|N|1
"7791293047812"|813.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:48:21|N|1
"7791293047874"|813.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:48:25|N|1
"7622210641632"|1490.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|10:46:57|N|1
"7790071070608"|990.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|10:48:08|N|1
"7792200000777"|499.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|10:49:32|N|1
"7790045825807"|990.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|10:51:35|N|1
"7790045826132"|499.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|10:51:59|N|1
"7790710334269"|1990.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|11:05:24|N|1
"7790040139282"|860.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|11:07:13|N|1
"7790040127944"|899.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|11:07:38|N|1
"7798126071457"|689.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|11:56:03|N|1
"7798126073598"|499.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|11:56:38|N|1
"7793522000124"|999.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|11:57:59|N|1
"7793890256604"|1490.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|11:58:31|N|1
"7798126072591"|499.00|ADRIANR|2024-07-04|2024-07-19| |2024-07-03|11:58:58|N|1
"7316576689567"|920.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:06:25|N|1
"7891114088175"|920.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:06:38|N|1
"7891114088182"|920.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:06:47|N|1
"7797443000027"|1280.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:06:57|N|1
"7793040000385"|790.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:07:09|N|1
"7791100046137"|1200.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:07:48|N|1
"7613287953384"|3862.50|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:08:03|N|1
"7792200000319"|544.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:08:17|N|1
"7798126073901"|1160.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|12:08:29|N|1
