"codigo"|"descripcion"|"departamento"|"seccion"|"rubro"|"habil"
1|GAS ENVASADO|12|48|4|S
1|GRUPO1|13|3|1|S
1|NAFTAS|13|48|4|S
1|GRUPO1|14|3|1|S
1|CORREAS|14|7|2|S
1|GRUPO1|16|3|1|S
1|GRUPO1|17|3|1|S
1|VERIFICAR GRUPO 1|17|7|2|S
1|GRUPO 1|18|5|1|S
1|GRUPO1|20|3|1|S
1|GRUPO1|26|3|1|S
1|SIN GRUPO|34|3|1|S
1|SIN GRUPO|35|3|1|S
1|MASCOTAS|35|5|1|S
1|SIN GRUPO - 41|41|7|2|S
2|ALIMENTO P/PERRO|1|14|3|S
2|NAFTA|1|48|4|S
2|ACEITUNAS|2|3|1|S
2|ELAION MOTO|2|48|4|S
2|PARAFINAS|3|48|4|S
2|INSECTICIDAS|5|48|4|S
2|VERIFICAR GRUPO 2|6|5|1|S
2|VERIFICAR GRUPO 2|7|5|1|S
2|VERIFICAR GRUPO 2|8|5|1|S
2|SOJA|8|48|4|S
2|ACEITUNAS|9|3|1|S
2|GRUPO 2|10|14|3|S
2|BEBIDA C/GAS|10|48|4|S
2|LAMPARAS|11|48|4|S
2|VERIFICAR GRUPO 2|12|3|1|S
2|KG.HIERRO ANGULO|12|8|2|S
2|VARILLAS|12|14|3|S
2|ART. PARA EL AGRO|12|48|4|S
2|ACEITUNAS|14|3|1|S
2|ABERTURAS PVC|17|8|2|S
2|ACEITUNAS|26|3|1|S
3|ALIMIENTO P/GATOS|1|14|3|S
3|OTROS|1|48|4|S
3|ACONDICIONADOR PISOS|2|3|1|S
3|ELAION NAUTICO|2|48|4|S
3|VERIFICAR GRUPO 3|3|3|1|S
3|OBSEQUIOS|3|48|4|S
3|FINGUICIDAS|5|48|4|S
3|GRUPO 3|6|5|1|S
3|GRUPO 3|8|5|1|S
3|SORGO|8|48|4|S
3|VERIFICAR GRUPO 3|9|3|1|S
3|GRUPO 3|10|6|1|S
3|BEBBIDAS C/ALCOHOL|10|48|4|S
3|ADITIVOS|11|48|4|S
3|VERIFICAR GRUPO 3|12|3|1|S
3|KG.HIERRO TE|12|8|2|S
3|HILOS|12|14|3|S
3|ACCESORIOS GALVANIZA|15|7|2|S
3|VERIFICAR GRUPO 3|18|7|2|S
3|SIN GRUPO - 3|21|14|3|S
4|VERIFICAR GRUPO 4|1|8|2|S
4|VERIFICAR GRUPO 4|2|3|1|S
4|VERIFICAR GRUPO 4|2|7|2|S
4|ANTIBIOTICOS|2|14|3|S
4|EXTRA VIDA|2|48|4|S
4|ENVASES|3|48|4|S
4|VERIFICAR GRUPO 4|4|10|1|S
4|VERIFICAR GRUPO 4|5|10|1|S
4|INOCULANTES|5|48|4|S
4|GRUPO4|6|5|1|S
4|VERIFICAR GRUPO 4|6|7|2|S
4|GRUPO4|7|5|1|S
4|GRUPO4|8|5|1|S
4|GRUPO4|9|3|1|S
4|LUBRIC.-ACEITES-GRASAS|9|7|2|S
4|JUGOS|10|48|4|S
4|NEUMATICOS|11|48|4|S
4|VERIFICAR GRUPO 4|12|3|1|S
4|KG.HIERRO -U-|12|8|2|S
4|AISLADORES|12|14|3|S
4|VERIFICAR GRUPO 4|15|10|1|S
4|VERIFICAR GRUPO 4|18|7|2|S
4|ESPECIES|33|3|1|S
4|SIN GRUPO - 4|41|7|2|S
5|INGRESE DESCRIPCION|1|14|3|S
5|UNILEVER DIA DE LA MADRE|2|3|1|S
5|ANTIPARASITARIO|2|14|3|S
5|MANTENIMIENTO|2|48|4|S
5|INGRESE DESCRIPCION|3|14|3|S
5|VERIFICAR GRUPO 5|5|10|1|S
5|SIN GRUPO - 5|5|14|3|S
5|GRUPO 5|6|5|1|S
5|UNILEVER DIA DE LA MADRE|9|3|1|S
5|TORNILLOS P/MADERA|10|7|2|S
5|AGUAS|10|48|4|S
5|GRUPO5|11|8|2|S
5|VARIOS REPUESTOS Y ACCE.|11|48|4|S
5|UNILEVER DIA DE LA MADRE|12|3|1|S
5|KG.HIERRO REDONDO|12|8|2|S
5|VERIFICAR GRUPO 5|13|7|2|S
5|AGUAS|17|3|1|S
6|ALCOHOL|2|3|1|S
6|MEDICAMENTOS VARIOS|2|14|3|S
6|INDST. PROCESOS|2|48|4|S
6|GRUPO 6|6|5|1|S
6|GRUPO 6|7|5|1|S
6|VERIFICAR GRUPO 6|9|3|1|S
6|VERIFICAR GRUPO|9|14|3|S
6|OTRAS BEBIDAS|10|48|4|S
6|VERIFICAR GRUPO 6|12|3|1|S
6|KG.HIERRO CUADRADO|12|8|2|S
6|SIN GRUPO - 6|21|14|3|S
6|VERIFICAR GRUPO 6|24|8|2|S
7|VERIFICAR GRUPO 7|2|3|1|S
7|SIN GRUPO - 7|2|14|3|S
7|TRANSMISION|2|48|4|S
7|VACUNAS P/VACUNOS|3|14|3|S
7|GRUPO 7|7|5|1|S
7|VERIFICAR GRUPO 7|9|3|1|S
7|POSTRE HELADOS|10|48|4|S
7|REP. MOTORES VILLA|11|7|2|S
7|KG.CA¤O LAMINADO|11|8|2|S
7|VERIFICAR GRUPO 7|12|8|2|S
7|SIN GRUPO - 7|12|14|3|S
7|VERIFICAR GRUPO 7|14|3|1|S
7|ALFAJORES|16|3|1|S
7|VERIFICAR GRUPO|21|14|3|S
7|VERIFICAR GRUPO 7|22|3|1|S
8|ALAMBRE GALVANIZADO|1|8|2|S
8|INGRESE DESCRIPCION|2|14|3|S
8|GRASAS|2|48|4|S
8|VACUNAS P/PERROS|3|14|3|S
8|CUBIERTAS AUTO/CAMIO|5|7|2|S
8|GRUPO 8|8|5|1|S
8|ALGODON|9|3|1|S
8|GOLOCONAS|10|48|4|S
8|GRUPO8|14|8|2|S
8|VERIFICAR GRUPO 8|19|8|2|S
8|GRUPO8|41|7|2|S
9|ALAMBRE PLASTICO|1|8|2|S
9|ALIMENTOS|2|3|1|S
9|BAJA GAMA|2|48|4|S
9|VACUNAS P/AVES|3|14|3|S
9|SIN GRUPO - 9|4|48|4|S
9|GRUPO 9|6|5|1|S
9|GRUPO 9|7|5|1|S
9|SIN GRUPO - 9|7|48|4|S
9|VERIFICAR GRUPO 9|9|3|1|S
9|CIGARILLOS|10|48|4|S
9|VERIFICAR GRUPO 9|11|3|1|S
9|SIN GRUPO - 9|21|14|3|S
9|SIN GRUPO - 9|35|3|1|S
10|GRUPO 10|1|7|2|S
10|ALMIDON|2|3|1|S
10|LIQUIDO FRENOS|2|48|4|S
10|VACUNAS P/EQUINOS|3|14|3|S
10|GRUPO 10|6|5|1|S
10|GRUPO 10|8|5|1|S
10|GRUPO 10|10|6|1|S
10|REGALOS|10|48|4|S
10|VERIFICAR GRUPO 10|12|3|1|S
10|SIN GRUPO - 10|21|14|3|S
10|BOMBA PRESIRIZADORA|24|8|2|S
11|GRUPO11|1|3|1|S
11|VERIFICAR GRUPO 11|1|8|2|S
11|REFRIGERANTE|2|48|4|S
11|RATICIDAS|4|14|3|S
11|VARIOS MINIMERCADO|10|48|4|S
11|VERIFICAR GRUPO 11|11|3|1|S
11|BARRAS DE HIERROS|12|8|2|S
11|ANANA FIZZ|17|3|1|S
12|VERIFICAR GRUPO 12|1|8|2|S
12|COMPLEMENTARIOS|2|48|4|S
12|INGRESE DESCRIPCION|3|14|3|S
12|HORMIGUICIDAS|4|14|3|S
12|CUBIERTAS CAMION|5|7|2|S
12|CHAPA NEGRA|8|8|2|S
12|VERIFICAR GRUPO 12|12|3|1|S
12|APERITIVOS|17|3|1|S
13|ARROZ|2|3|1|S
13|CUIDADO AUTOMOTOR|2|48|4|S
13|PLAGUICIDAS P/MOSCAS|4|14|3|S
13|CUBIERTAS AGRICOLAS|5|7|2|S
