CódigoProducto,Descripción,FechaInicio_Oferta,FechaFin_Oferta,Precio,Sucursal
6000001052798,COSTILLA NOVILLO KG.                              ,2024-08-09,2024-08-10,5900.0,1
6000001070822,PALETA COCIDA LAR KG.                             ,2024-08-02,2024-08-03,7360.0,1
6000001070822,PALETA COCIDA LAR KG.                             ,2024-08-09,2024-08-10,7360.0,1
6000001070822,PALETA COCIDA LAR KG.                             ,2024-08-15,2024-08-16,7960.0,1
6000001070822,PALETA COCIDA LAR KG.                             ,2024-08-23,2024-08-24,7960.0,1
6000001072734,CHORIZO FRESCO KG.                                ,2024-08-09,2024-08-10,5750.0,1
6000001072734,CHORIZO FRESCO KG.                                ,2024-08-23,2024-08-24,6400.0,1
6000001073274,CHORIZO FRESCO 100% CERDO KG.                     ,2024-08-02,2024-08-03,5498.0,1
6000001073274,CHORIZO FRESCO 100% CERDO KG.                     ,2024-08-15,2024-08-16,6300.0,1
6000001087202,PIZZA LISTA PARA HORNEAR                          ,2024-08-23,2024-08-24,3500.0,1
6000001153082,BOCADITOS GRANIX FRUTILLA KG.                     ,2024-08-02,2024-08-08,5814.4,1
7506306249974,COLONIA DES.AXE AQUA CITRUS 96G                   ,2024-08-09,2024-08-15,2392.0,1
7506306249981,COLONIA DES.AXE BLUE LAVENDER 96G                 ,2024-08-09,2024-08-15,2392.0,1
7506306249998,COLONIA DES.AXE GREEN GERANIUM 96G                ,2024-08-09,2024-08-15,2392.0,1
7613037383706,"ALIMENTO DOG CHOW 1,5K. S/C CACH. M/P (10700)     ",2024-08-16,2024-08-30,3500.0,1
7613037406283,ALIMENTO DOG CHOW 3KG.CA. S/C R.PEQUEÑA (10608)   ,2024-08-06,2024-08-30,6900.0,1
7622201504076,GALLETITAS VARIEDAD FAMILIAR 590G.                ,2024-08-09,2024-08-15,1479.0,1
7622300724245,FIDEOS TERRABUSI 100A/OS TIRABU.500               ,2024-08-15,2024-08-19,802.4,2
7622300724368,FIDEOS TERRABUSI 100A/OS TALLARI.50               ,2024-08-15,2024-08-19,802.4,2
7701871000849,PREPARADO FLEISCREAM 1L.CHANTILLY                 ,2024-08-09,2024-08-23,3950.0,1
7790045001607,CEREAL GRANIX SKARCHITOS 240 G                    ,2024-08-16,2024-08-22,975.0,1
7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-10,2024-08-10,2490.0,2
7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-16,2024-08-22,2498.0,1
7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-23,2024-08-23,2300.0,1
7790060070541,BIZCOCHUELO EXQUISITA VAIN.540                    ,2024-08-09,2024-08-15,1680.0,1
7790060070565,BIZCOCHUELO EXQUISITA NARANJA 540G                ,2024-08-06,2024-08-15,1680.0,1
7790060070589,BIZCOCHUELO EXQUISITA CHOC.540                    ,2024-08-09,2024-08-15,1680.0,1
7790060070626,BIZCOCHUELO EXQUISITA COCO 540                    ,2024-08-06,2024-08-23,1680.0,1
7790060072996,BIZCOCHUELO EXQUISITA LIMON 540G                  ,2024-08-09,2024-08-15,1680.0,1
7790070036971,RAVIOLES FAVORITA 450G.POLLO Y VERDURA            ,2024-08-30,2024-08-31,1240.0,1
7790070036988,RAVIOLES FAVORITA 450G.JAMON Y QUESO              ,2024-08-30,2024-08-31,1240.0,1
7790070036995,RAVIOLES FAVORITA 450G.QUESOS                     ,2024-08-30,2024-08-31,1240.0,1
7790070321794,FIDEOS MATARAZZO SIN TACC PENNE RIGATE 500G.      ,2024-08-23,2024-08-29,1890.0,1
7790070321800,FIDEOS MATARAZZO SIN TACC SPAGHETTI 500G.         ,2024-08-23,2024-08-29,1890.0,1
7790070335678,FIDEOS TERRABUSI 100A/OS CODITOS 500G             ,2024-08-15,2024-08-19,802.4,2
7790070336446,FIDEOS TERRABUSI 100A/OS MOST.RAYADO 500G         ,2024-08-15,2024-08-19,802.4,2
7790070410764,BIZCOCHUELO EXQUISITA VAIN.450G SIN TACC          ,2024-08-09,2024-08-15,2336.0,1
7790070410771,BIZCOCHUELO EXQUISITA CHOC.450G SIN TACC          ,2024-08-09,2024-08-15,2336.0,1
7790070413536,BIZCOCHUELO EXQUISITA BROWNIES 400G SIN TACC      ,2024-08-02,2024-08-08,2336.0,1
7790070416513,YOGUBAR DE ARROZ GALLO 20G.                       ,2024-08-16,2024-08-22,320.0,1
7790070417343,BIZCOCHOS DE ARROZ GALLO CHIPS QUESO 100G.        ,2024-08-06,2024-08-26,890.0,1
7790070417459,BIZCOCHOS DE ARROZ GALLO CHIPS QUESO 150G.        ,2024-08-06,2024-08-16,1200.0,1
7790070508010,PREMEZCLA BLANCAFLOR PAN/PIZZA S/TACC 500G        ,2024-08-16,2024-08-22,2700.0,1
