codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,Porcentaje_Vendido
13025,"SIERRA DE LOS PADRES S/GAS MANZANA 1,5L",NUTRECO ALIMENTOS,Crespo,2024-08-30,2024-08-31,154.0,75,48.7
13025,"SIERRA DE LOS PADRES S/GAS MANZANA 1,5L",NUTRECO ALIMENTOS,Nogoya Sur,2024-08-30,2024-08-31,134.0,9,6.72
13025,"SIERRA DE LOS PADRES S/GAS MANZANA 1,5L",NUTRECO ALIMENTOS,Crespo,2024-08-02,2024-08-03,98.0,116,118.37
13025,"SIERRA DE LOS PADRES S/GAS MANZANA 1,5L",NUTRECO ALIMENTOS,Nogoya Italia,2024-08-30,2024-08-31,50.0,18,36.0
13025,"SIERRA DE LOS PADRES S/GAS MANZANA 1,5L",NUTRECO ALIMENTOS,Nogoya Italia,2024-08-02,2024-08-03,0.0,8,0.0
13025,"SIERRA DE LOS PADRES S/GAS MANZANA 1,5L",NUTRECO ALIMENTOS,Hernandez,2024-08-02,2024-08-03,57.0,20,35.09
13025,"SIERRA DE LOS PADRES S/GAS MANZANA 1,5L",NUTRECO ALIMENTOS,Nogoya Sur,2024-08-02,2024-08-03,96.0,18,18.75
13022,"SIERRA DE LOS PADRES S/GAS POMELO 1,5L",NUTRECO ALIMENTOS,Crespo,2024-08-02,2024-08-03,95.0,80,84.21
13022,"SIERRA DE LOS PADRES S/GAS POMELO 1,5L",NUTRECO ALIMENTOS,Crespo,2024-08-30,2024-08-31,100.0,59,59.0
13022,"SIERRA DE LOS PADRES S/GAS POMELO 1,5L",NUTRECO ALIMENTOS,Nogoya Sur,2024-08-30,2024-08-31,160.0,7,4.38
13022,"SIERRA DE LOS PADRES S/GAS POMELO 1,5L",NUTRECO ALIMENTOS,Hernandez,2024-08-30,2024-08-31,14.0,1,7.14
13022,"SIERRA DE LOS PADRES S/GAS POMELO 1,5L",NUTRECO ALIMENTOS,Nogoya Italia,2024-08-02,2024-08-03,0.0,8,0.0
13022,"SIERRA DE LOS PADRES S/GAS POMELO 1,5L",NUTRECO ALIMENTOS,Nogoya Italia,2024-08-30,2024-08-31,57.0,11,19.3
13022,"SIERRA DE LOS PADRES S/GAS POMELO 1,5L",NUTRECO ALIMENTOS,Nogoya Sur,2024-08-02,2024-08-03,219.0,8,3.65
13022,"SIERRA DE LOS PADRES S/GAS POMELO 1,5L",NUTRECO ALIMENTOS,Hernandez,2024-08-02,2024-08-03,49.0,12,24.49
353183,"SIERRA DE LOS PADRES S/GAS POMELO ROSADO 1,5L",NUTRECO ALIMENTOS,Crespo,2024-08-02,2024-08-03,142.0,52,36.62
353183,"SIERRA DE LOS PADRES S/GAS POMELO ROSADO 1,5L",NUTRECO ALIMENTOS,Crespo,2024-08-30,2024-08-31,160.0,37,23.12
353183,"SIERRA DE LOS PADRES S/GAS POMELO ROSADO 1,5L",NUTRECO ALIMENTOS,Hernandez,2024-08-30,2024-08-31,23.0,6,26.09
353183,"SIERRA DE LOS PADRES S/GAS POMELO ROSADO 1,5L",NUTRECO ALIMENTOS,Nogoya Italia,2024-08-30,2024-08-31,58.0,5,8.62
353183,"SIERRA DE LOS PADRES S/GAS POMELO ROSADO 1,5L",NUTRECO ALIMENTOS,Nogoya Sur,2024-08-02,2024-08-03,37.0,4,10.81
353183,"SIERRA DE LOS PADRES S/GAS POMELO ROSADO 1,5L",NUTRECO ALIMENTOS,Nogoya Sur,2024-08-30,2024-08-31,152.0,10,6.58
264188,SNACK DE ARROZ DOS HERMANOS 80G.SALAME,DOS HERMANOS,Nogoya Sur,2024-08-06,2024-08-30,1.0,5,500.0
264188,SNACK DE ARROZ DOS HERMANOS 80G.SALAME,DOS HERMANOS,Crespo,2024-08-06,2024-08-30,144.0,59,40.97
37347,SOPA KNORR CASERA POLLO C/CABELLO DE ANGEL,UNILEVER BEST FOODS,Nogoya Italia,2024-08-23,2024-08-29,27.0,7,25.93
37347,SOPA KNORR CASERA POLLO C/CABELLO DE ANGEL,UNILEVER BEST FOODS,Crespo,2024-08-23,2024-08-29,21.0,39,185.71
37347,SOPA KNORR CASERA POLLO C/CABELLO DE ANGEL,UNILEVER BEST FOODS,Hernandez,2024-08-23,2024-08-29,4.0,1,25.0
37347,SOPA KNORR CASERA POLLO C/CABELLO DE ANGEL,UNILEVER BEST FOODS,Nogoya Sur,2024-08-23,2024-08-29,51.0,11,21.57
263361,SOPA KNORR CASERA POLLO CON DEDALITOS INTEG.80G.,UNILEVER BEST FOODS,Nogoya Sur,2024-08-23,2024-08-29,90.0,1,1.11
263361,SOPA KNORR CASERA POLLO CON DEDALITOS INTEG.80G.,UNILEVER BEST FOODS,Nogoya Italia,2024-08-23,2024-08-29,32.0,10,31.25
263361,SOPA KNORR CASERA POLLO CON DEDALITOS INTEG.80G.,UNILEVER BEST FOODS,Crespo,2024-08-23,2024-08-29,87.0,46,52.87
37343,SOPA KNORR CASERA VEGET.+CAR.TR,UNILEVER BEST FOODS,Nogoya Sur,2024-08-23,2024-08-29,36.0,1,2.78
37343,SOPA KNORR CASERA VEGET.+CAR.TR,UNILEVER BEST FOODS,Nogoya Italia,2024-08-23,2024-08-29,21.0,11,52.38
37343,SOPA KNORR CASERA VEGET.+CAR.TR,UNILEVER BEST FOODS,Hernandez,2024-08-23,2024-08-29,51.0,4,7.84
