codigo,barras,descripcion,fecha_inicio,fecha_fin,porcentaje_descuento,sucursal,stock
274114.0,7791293042800,ACONDICIONADOR SEDAL 340ML JENGIBRE Y RICINO      ,2024-08-02,2024-08-08,20.0,Nogoya Sur,72.0
274114.0,7791293042800,ACONDICIONADOR SEDAL 340ML JENGIBRE Y RICINO      ,2024-08-02,2024-08-08,20.0,Hernandez,11.0
274114.0,7791293042800,ACONDICIONADOR SEDAL 340ML JENGIBRE Y RICINO      ,2024-08-02,2024-08-08,20.0,Nogoya Italia,57.0
274114.0,7791293042800,ACONDICIONADOR SEDAL 340ML JENGIBRE Y RICINO      ,2024-08-02,2024-08-08,20.0,Crespo,23.0
87073.0,7791293030982,ACONDICIONADOR SEDAL 340ML LISO PERFECTO          ,2024-08-02,2024-08-08,20.0,Nogoya Italia,37.0
87073.0,7791293030982,ACONDICIONADOR SEDAL 340ML LISO PERFECTO          ,2024-08-02,2024-08-08,20.0,Hernandez,0.0
87073.0,7791293030982,ACONDICIONADOR SEDAL 340ML LISO PERFECTO          ,2024-08-02,2024-08-08,20.0,Crespo,6.0
87073.0,7791293030982,ACONDICIONADOR SEDAL 340ML LISO PERFECTO          ,2024-08-02,2024-08-08,20.0,Nogoya Sur,46.0
301636.0,7791293049762,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA    ,2024-08-02,2024-08-08,20.0,Nogoya Italia,0.0
301636.0,7791293049762,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA    ,2024-08-02,2024-08-08,20.0,Hernandez,3.0
301636.0,7791293049762,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA    ,2024-08-02,2024-08-08,20.0,Crespo,10.0
301636.0,7791293049762,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA    ,2024-08-02,2024-08-08,20.0,Nogoya Sur,49.0
87080.0,7791293031019,ACONDICIONADOR SEDAL 340ML REST.INSTANTANEA       ,2024-08-02,2024-08-08,20.0,Nogoya Italia,0.0
87080.0,7791293031019,ACONDICIONADOR SEDAL 340ML REST.INSTANTANEA       ,2024-08-02,2024-08-08,20.0,Hernandez,0.0
87080.0,7791293031019,ACONDICIONADOR SEDAL 340ML REST.INSTANTANEA       ,2024-08-02,2024-08-08,20.0,Nogoya Sur,36.0
87080.0,7791293031019,ACONDICIONADOR SEDAL 340ML REST.INSTANTANEA       ,2024-08-02,2024-08-08,20.0,Crespo,68.0
87074.0,7791293031026,ACONDICIONADOR SEDAL 340ML RIZOS DEFINIDOS        ,2024-08-02,2024-08-08,20.0,Crespo,56.0
87074.0,7791293031026,ACONDICIONADOR SEDAL 340ML RIZOS DEFINIDOS        ,2024-08-02,2024-08-08,20.0,Nogoya Sur,105.0
87074.0,7791293031026,ACONDICIONADOR SEDAL 340ML RIZOS DEFINIDOS        ,2024-08-02,2024-08-08,20.0,Nogoya Italia,2.0
87074.0,7791293031026,ACONDICIONADOR SEDAL 340ML RIZOS DEFINIDOS        ,2024-08-02,2024-08-08,20.0,Hernandez,0.0
383927.0,7794000008915,ADEREZO HELLMANNS DP. 250G PICANTE                ,2024-08-23,2024-08-29,12.44,Nogoya Italia,16.0
383927.0,7794000008915,ADEREZO HELLMANNS DP. 250G PICANTE                ,2024-08-23,2024-08-29,12.44,Nogoya Sur,48.0
383927.0,7794000008915,ADEREZO HELLMANNS DP. 250G PICANTE                ,2024-08-23,2024-08-29,12.44,Hernandez,23.0
383927.0,7794000008915,ADEREZO HELLMANNS DP. 250G PICANTE                ,2024-08-23,2024-08-29,12.44,Crespo,78.0
293777.0,7798065734512,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.             ",2024-08-02,2024-08-03,,Nogoya Sur,62.0
293777.0,7798065734512,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.             ",2024-08-02,2024-08-03,,Crespo,125.0
293777.0,7798065734512,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.             ",2024-08-02,2024-08-03,,Nogoya Italia,45.0
293777.0,7798065734512,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.             ",2024-08-02,2024-08-03,,Hernandez,32.0
66117.0,7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-15,2024-08-16,15.0,Crespo,141.0
66117.0,7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-15,2024-08-16,15.0,Nogoya Italia,13.0
66117.0,7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-15,2024-08-16,15.0,Nogoya Sur,3.0
66117.0,7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-15,2024-08-16,15.0,Hernandez,0.0
66117.0,7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-23,2024-08-24,15.0,Nogoya Sur,1.0
66117.0,7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-23,2024-08-24,15.0,Hernandez,55.0
66117.0,7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-23,2024-08-24,15.0,Nogoya Italia,11.0
66117.0,7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-23,2024-08-24,15.0,Crespo,121.0
328908.0,7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-15,2024-08-16,15.0,Nogoya Sur,29.0
328908.0,7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-15,2024-08-16,15.0,Nogoya Italia,2.0
328908.0,7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-15,2024-08-16,15.0,Crespo,64.0
328908.0,7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-15,2024-08-16,15.0,Hernandez,-9.0
328908.0,7790895640483,"AGUA SAB.AQUARIUS 1,500CC.MANZANA                 ",2024-08-23,2024-08-24,15.0,Crespo,93.0
